Voz,Compasso,Grupos (notas),Peso Métrico,Tensão Prolongacional
Voz 3,15,"B3; E4; A3; D4, D4; G3; D4","3, 1, 1, 1, 2, 1, 1","59.0, 64.0, 57.0, 62.0, 62.0, 55.0, 62.0"
Voz 3,16,"C4; A3; E4, D4","3, 1, 1, 2","60.0, 57.0, 64.0, 62.0"
Voz 3,17,"A3, B3, C#4, D4, E4, D4, C4; F4","1, 1, 1, 2, 1, 1, 1, 1","57.0, 59.0, 61.0, 62.0, 64.0, 62.0, 60.0, 65.0"
Voz 3,18,"B3; E4, F4, E4, D4, C#4","3, 1, 1, 1, 1, 2","59.0, 64.0, 65.0, 64.0, 62.0, 61.0"
Voz 3,19,"A3, B3, C#4, D4, E4, D4, C4; F#4","1, 1, 1, 2, 1, 1, 1, 1","57.0, 59.0, 61.0, 62.0, 64.0, 62.0, 60.0, 66.0"
Voz 3,20,"B3; E4, F#4, E4, D4, C4","3, 1, 1, 1, 1, 2","59.0, 64.0, 66.0, 64.0, 62.0, 60.0"
Voz 3,21,"D4, C4, B3, A3, G3, A3; F#3, G3; B3, C4, D4","1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","62.0, 60.0, 59.0, 57.0, 55.0, 57.0, 54.0, 55.0, 59.0, 60.0, 62.0"
Voz 3,22,"E4, F4, E4, D4; G4; C4; F4, G4, F4, E4","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","64.0, 65.0, 64.0, 62.0, 67.0, 60.0, 65.0, 67.0, 65.0, 64.0"
Voz 3,23,"D4, E4, D4, D4; G3, G3","3, 1, 1, 2, 1, 1","62.0, 64.0, 62.0, 62.0, 55.0, 55.0"
Voz 3,24,"G3; C3, D3, E3, F3, G3, F3, E3; A3","3, 1, 1, 1, 2, 1, 1, 1, 1","55.0, 48.0, 50.0, 52.0, 53.0, 55.0, 53.0, 52.0, 57.0"
Voz 3,25,"D3; G3, A3, G3, F3, E3, D3, E3, F3, G3, A3, B-3; G3","3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1","50.0, 55.0, 57.0, 55.0, 53.0, 52.0, 50.0, 52.0, 53.0, 55.0, 57.0, 58.0, 55.0"
Voz 3,26,"A3; E3, F3, G3, A3, B3, C4; A3; D4","3, 1, 1, 1, 1, 1, 1, 1, 2","57.0, 52.0, 53.0, 55.0, 57.0, 59.0, 60.0, 57.0, 62.0"
Voz 3,27,C4,3,60.0
Voz 4,5,"C3, D3, E3","1, 1, 1","48.0, 50.0, 52.0"
Voz 4,6,"F3, G3, F3, E3; A3; D3; G3, A3, G3, F3","3, 1, 1, 1, 1, 2, 1, 1, 1, 1","53.0, 55.0, 53.0, 52.0, 57.0, 50.0, 55.0, 57.0, 55.0, 53.0"
Voz 4,7,"E3, F3, E3, D3, C3, D3, C3, B2, A2; D3; A3; F#3","3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1","52.0, 53.0, 52.0, 50.0, 48.0, 50.0, 48.0, 47.0, 45.0, 50.0, 57.0, 54.0"
Voz 4,8,"G3, A3, B-3; G3; C#3, D3; A3; E3","3, 1, 1, 1, 1, 1, 2, 1","55.0, 57.0, 58.0, 55.0, 49.0, 50.0, 57.0, 52.0"
